U1,U2,T(k-1),C(k-1)
0.9,13.5,393.95,0.26449
0.9,13.5,395.28,0.24712
0.9,13.5,395.71,0.23385
0.9,13.5,395.26,0.22842
0.9,13.5,394.28,0.23064
0.9,13.5,393.21,0.23786
0.9,13.5,392.39,0.24685
0.9,13.5,391.96,0.25488
0.9,13.5,391.95,0.26008
0.9,13.5,392.29,0.26155
0.9,13.5,392.82,0.25947
0.9,13.5,393.38,0.25497
0.9,13.5,393.79,0.24976
0.9,13.5,393.96,0.24556
0.9,13.5,393.87,0.24346
0.9,13.5,393.6,0.24365
0.9,13.5,393.27,0.24559
0.9,13.5,392.99,0.24837
0.9,13.5,392.83,0.25105
0.9,13.5,392.8,0.25289
0.9,13.5,392.89,0.25354
0.9,13.5,393.06,0.25303
0.9,13.5,393.24,0.25171
0.9,13.5,393.37,0.2501
0.9,13.5,393.44,0.24873
0.9,13.5,393.42,0.24796
0.9,13.5,393.35,0.24789
0.9,13.5,393.25,0.24841
0.9,13.5,393.15,0.24925
0.9,13.5,393.1,0.25011
0.9,13.5,393.08,0.25075
0.9,13.5,393.1,0.25102
0.9,13.5,393.15,0.25091
0.9,13.5,393.21,0.25053
0.9,13.5,393.25,0.25004
0.9,13.5,393.28,0.24959
0.9,13.5,393.28,0.24931
0.9,13.5,393.26,0.24925
0.9,13.5,393.22,0.24939
0.9,13.5,393.2,0.24964
0.9,13.5,393.17,0.24991
0.9,13.5,393.17,0.25013
0.9,13.5,393.17,0.25023
0.9,13.5,393.19,0.25022
0.9,13.5,393.2,0.25011
0.9,13.5,393.22,0.24996
0.9,13.5,393.23,0.24981
0.9,13.5,393.23,0.24972
0.9,13.5,393.22,0.24969
0.9,13.5,393.21,0.24972
0.9,13.5,393.2,0.24979
0.9,13.5,393.2,0.24988
0.9,13.5,393.19,0.24995
0.9,13.5,393.2,0.24999
0.9,13.5,393.2,0.24999
0.9,13.5,393.21,0.24996
0.9,13.5,393.21,0.24992
0.9,13.5,393.21,0.24987
0.9,13.5,393.21,0.24984
0.9,13.5,393.21,0.24982
0.9,13.5,393.21,0.24983
0.9,13.5,393.21,0.24985
0.9,13.5,393.2,0.24988
0.9,13.5,393.2,0.2499
0.9,13.5,393.2,0.24992
0.9,13.5,393.2,0.24992
0.9,13.5,393.21,0.24991
0.9,13.5,393.21,0.2499
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24987
0.9,13.5,393.21,0.24987
0.9,13.5,393.21,0.24987
0.9,13.5,393.21,0.24987
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.2499
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24989
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
