U1,U2
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
0.9,13.5
1.1,16.5
