C,T
0.24712,395.28
0.23385,395.71
0.22842,395.26
0.23064,394.28
0.23786,393.21
0.24685,392.39
0.25488,391.96
0.26008,391.95
0.26155,392.29
0.25947,392.82
0.25497,393.38
0.24976,393.79
0.24556,393.96
0.24346,393.87
0.24365,393.6
0.24559,393.27
0.24837,392.99
0.25105,392.83
0.25289,392.8
0.25354,392.89
0.25303,393.06
0.25171,393.24
0.2501,393.37
0.24873,393.44
0.24796,393.42
0.24789,393.35
0.24841,393.25
0.24925,393.15
0.25011,393.1
0.25075,393.08
0.25102,393.1
0.25091,393.15
0.25053,393.21
0.25004,393.25
0.24959,393.28
0.24931,393.28
0.24925,393.26
0.24939,393.22
0.24964,393.2
0.24991,393.17
0.25013,393.17
0.25023,393.17
0.25022,393.19
0.25011,393.2
0.24996,393.22
0.24981,393.23
0.24972,393.23
0.24969,393.22
0.24972,393.21
0.24979,393.2
0.24988,393.2
0.24995,393.19
0.24999,393.2
0.24999,393.2
0.24996,393.21
0.24992,393.21
0.24987,393.21
0.24984,393.21
0.24982,393.21
0.24983,393.21
0.24985,393.21
0.24988,393.2
0.2499,393.2
0.24992,393.2
0.24992,393.2
0.24991,393.21
0.2499,393.21
0.24988,393.21
0.24987,393.21
0.24987,393.21
0.24987,393.21
0.24987,393.21
0.24988,393.21
0.24989,393.21
0.24989,393.21
0.2499,393.21
0.24989,393.21
0.24989,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24989,393.21
0.24989,393.21
0.24989,393.21
0.24989,393.21
0.24989,393.21
0.24989,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24989,393.21
0.24989,393.21
0.24989,393.21
0.24989,393.21
0.24989,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24989,393.21
0.24989,393.21
0.24989,393.21
0.24989,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.24988,393.21
0.2839,390.81
0.31095,389.96
0.32541,390.53
0.32394,392.27
0.30668,394.75
0.2797,397.12
0.25519,398.31
0.24396,397.8
0.24775,396.16
0.26133,394.34
0.27801,392.99
0.29223,392.39
0.30019,392.58
0.30004,393.41
0.29234,394.59
0.28034,395.68
0.26907,396.26
0.26289,396.15
0.26331,395.5
0.2689,394.65
0.2768,393.94
0.28404,393.58
0.28839,393.62
0.28877,393.99
0.28546,394.54
0.28002,395.06
0.27467,395.37
0.27138,395.36
