C,T
2.481577E-01,3.953491E+02
2.33088E-01,3.958698E+02
2.271894E-01,3.95403E+02
2.299736E-01,3.94402E+02
2.365269E-01,3.933006E+02
2.45126E-01,3.923649E+02
2.539519E-01,3.917857E+02
2.604163E-01,3.916341E+02
2.632964E-01,3.918621E+02
2.631055E-01,3.923866E+02
2.581015E-01,3.930004E+02
2.534068E-01,3.935233E+02
2.486501E-01,3.938878E+02
2.442084E-01,3.939743E+02
2.411289E-01,3.936724E+02
2.437694E-01,3.931455E+02
2.481723E-01,3.926681E+02
2.529869E-01,3.923839E+02
2.563836E-01,3.923535E+02
2.584237E-01,3.925973E+02
2.552624E-01,3.929443E+02
2.52695E-01,3.932206E+02
2.502802E-01,3.934127E+02
2.491044E-01,3.935392E+02
2.459438E-01,3.934983E+02
2.469207E-01,3.933082E+02
2.484072E-01,3.931272E+02
2.507572E-01,3.930402E+02
2.506989E-01,3.930175E+02
2.508059E-01,3.929819E+02
2.525904E-01,3.930321E+02
2.511579E-01,3.931322E+02
2.505387E-01,3.931883E+02
2.498034E-01,3.932066E+02
2.491476E-01,3.931577E+02
2.514052E-01,3.93172E+02
2.520396E-01,3.933616E+02
2.486548E-01,3.935227E+02
2.480522E-01,3.935735E+02
2.462359E-01,3.935157E+02
2.470639E-01,3.933633E+02
2.48146E-01,3.932136E+02
2.487727E-01,3.930556E+02
2.495795E-01,3.928694E+02
2.520953E-01,3.927447E+02
2.538433E-01,3.927703E+02
2.534555E-01,3.928864E+02
2.525398E-01,3.930108E+02
2.517579E-01,3.931284E+02
2.497508E-01,3.931681E+02
2.492924E-01,3.930975E+02
2.506696E-01,3.930331E+02
2.51656E-01,3.930573E+02
2.507421E-01,3.93099E+02
2.499654E-01,3.93074E+02
2.511161E-01,3.930564E+02
2.511261E-01,3.930905E+02
2.512247E-01,3.931555E+02
2.499741E-01,3.931985E+02
2.491969E-01,3.931562E+02
2.506367E-01,3.931264E+02
2.504235E-01,3.931424E+02
2.492596E-01,3.930887E+02
2.496858E-01,3.929584E+02
2.530225E-01,3.929557E+02
2.516647E-01,3.930545E+02
2.512416E-01,3.931245E+02
2.503951E-01,3.93171E+02
2.505438E-01,3.93213E+02
2.493943E-01,3.932249E+02
2.488322E-01,3.931475E+02
2.504602E-01,3.930807E+02
2.502948E-01,3.930467E+02
2.515124E-01,3.930512E+02
2.510374E-01,3.930983E+02
2.507704E-01,3.931369E+02
2.502676E-01,3.931586E+02
2.496727E-01,3.931326E+02
2.511033E-01,3.931399E+02
2.504013E-01,3.931904E+02
2.482925E-01,3.931122E+02
2.502467E-01,3.929783E+02
2.516981E-01,3.929426E+02
2.527696E-01,3.930243E+02
2.519005E-01,3.93173E+02
2.51051E-01,3.933315E+02
2.489322E-01,3.934307E+02
2.487891E-01,3.934743E+02
2.477796E-01,3.934801E+02
2.477065E-01,3.934282E+02
2.481036E-01,3.933587E+02
2.491135E-01,3.933223E+02
2.495186E-01,3.933408E+02
2.492844E-01,3.933814E+02
2.485829E-01,3.933961E+02
2.484017E-01,3.933708E+02
2.484039E-01,3.933171E+02
2.490318E-01,3.932625E+02
2.493073E-01,3.932204E+02
2.492626E-01,3.931606E+02
2.491354E-01,3.930485E+02
2.501189E-01,3.929086E+02
2.516544E-01,3.928147E+02
2.542217E-01,3.928878E+02
2.533989E-01,3.931065E+02
2.513313E-01,3.93317E+02
2.488975E-01,3.934193E+02
2.48357E-01,3.934261E+02
2.479714E-01,3.933838E+02
2.496488E-01,3.933906E+02
2.481874E-01,3.934086E+02
2.474617E-01,3.933131E+02
2.490685E-01,3.932052E+02
2.486692E-01,3.930862E+02
2.511724E-01,3.930091E+02
2.514895E-01,3.930339E+02
2.513038E-01,3.930829E+02
2.506027E-01,3.931153E+02
2.506291E-01,3.931338E+02
2.499953E-01,3.931291E+02
2.499E-01,3.930804E+02
2.509097E-01,3.930516E+02
2.501821E-01,3.930149E+02
2.522397E-01,3.930335E+02
2.532794E-01,3.93242E+02
2.512276E-01,3.935416E+02
2.474744E-01,3.937192E+02
2.453922E-01,3.936838E+02
2.453719E-01,3.935016E+02
2.464813E-01,3.932553E+02
2.482053E-01,3.930011E+02
2.511448E-01,3.928378E+02
2.515103E-01,3.927419E+02
2.53154E-01,3.926942E+02
2.541649E-01,3.927603E+02
2.545439E-01,3.929505E+02
2.529488E-01,3.932066E+02
2.509759E-01,3.93445E+02
2.480939E-01,3.935733E+02
2.466806E-01,3.93545E+02
2.471142E-01,3.93442E+02
2.476952E-01,3.933243E+02
2.48122E-01,3.931807E+02
2.501316E-01,3.930787E+02
2.515689E-01,3.931005E+02
2.519486E-01,3.932409E+02
2.502869E-01,3.934063E+02
2.477863E-01,3.934476E+02
2.476982E-01,3.93372E+02
2.482544E-01,3.932705E+02
2.490197E-01,3.931735E+02
2.492881E-01,3.930659E+02
2.510571E-01,3.930019E+02
2.51231E-01,3.929999E+02
2.513678E-01,3.930141E+02
2.52001E-01,3.930835E+02
2.498567E-01,3.931107E+02
2.495353E-01,3.930196E+02
2.507089E-01,3.929161E+02
2.512787E-01,3.928375E+02
2.524088E-01,3.928007E+02
2.531977E-01,3.928453E+02
2.525547E-01,3.92927E+02
2.525718E-01,3.93033E+02
2.514346E-01,3.931492E+02
2.493603E-01,3.931626E+02
2.505098E-01,3.931389E+02
2.515322E-01,3.932232E+02
2.502061E-01,3.933469E+02
2.485083E-01,3.933838E+02
2.484105E-01,3.933459E+02
2.48426E-01,3.93276E+02
2.486732E-01,3.931718E+02
2.500258E-01,3.930877E+02
2.495576E-01,3.929911E+02
2.514936E-01,3.929148E+02
