H1,H2,H3,H4
19.197,18.102,8.1,6.5614
18.942,18.171,7.8178,6.519
19.181,18.08,8.0424,6.4929
19.064,17.861,7.8436,6.312
19.351,18.301,8.0958,6.6046
19.861,18.332,8.4158,6.667
20.131,18.505,8.5925,6.7839
20.35,18.587,8.7299,6.8523
20.15,18.336,8.4191,6.6168
20.58,18.387,8.6648,6.6989
20.771,18.638,8.7967,6.8428
20.873,18.925,8.8827,6.9832
20.705,18.505,8.5772,6.6786
20.807,18.778,8.6964,6.8371
20.522,18.462,8.3772,6.5889
20.291,18.313,8.1194,6.4311
20.05,18.088,7.8927,6.2692
19.636,17.761,7.6335,6.0914
19.541,17.82,7.5182,6.0711
19.787,18.131,7.8228,6.3246
20.027,18.249,8.0823,6.4768
20.232,18.502,8.2947,6.6533
19.928,18.111,8.0144,6.4021
19.869,18.029,7.8555,6.2878
20.012,18.173,8.0781,6.4516
20.544,18.335,8.4046,6.5986
20.209,18.359,8.1067,6.494
19.85,17.938,7.8376,6.2546
19.589,17.453,7.6351,6.0196
19.839,17.793,7.9227,6.2797
19.978,18.124,8.1318,6.5024
20.053,18.333,8.2889,6.6551
20.261,18.48,8.469,6.7676
20.056,18.239,8.1953,6.5479
20.078,18.321,8.3258,6.653
20.511,18.782,8.5795,6.8738
20.139,18.718,8.2388,6.7071
20.27,18.957,8.4033,6.8553
19.865,18.575,8.0708,6.5874
20.068,19.078,8.2784,6.8437
19.878,18.992,8.0348,6.6845
20.287,19.105,8.3217,6.8021
20.383,19.276,8.4656,6.9237
20.225,19.09,8.2132,6.7228
20.307,19.179,8.3681,6.8284
20.363,19.335,8.491,6.9429
20.722,19.498,8.702,7.0458
20.531,19.366,8.4119,6.8502
20.06,19.114,8.064,6.6418
20.42,19.211,8.3357,6.7649
20.003,19.06,8.0154,6.6014
19.833,18.7,7.8207,6.3873
19.394,18.648,7.5574,6.3071
19.347,18.169,7.4628,6.0887
18.897,17.719,7.239,5.9025
18.723,17.406,7.1362,5.7826
18.883,17.452,7.4457,5.9796
18.838,17.223,7.3504,5.8665
18.583,17.092,7.1968,5.7999
18.835,17.523,7.5231,6.1178
19.376,17.722,7.9022,6.3134
18.969,17.334,7.6216,6.0964
19.222,17.559,7.8893,6.2984
19.032,17.33,7.6795,6.1324
19.024,17.237,7.5619,6.0346
19.297,17.395,7.849,6.2208
19.557,17.619,8.0925,6.4029
19.768,17.718,8.2882,6.5183
19.897,17.96,8.431,6.6661
20.113,17.956,8.5853,6.7129
20,17.967,8.3186,6.5713
19.812,17.93,8.0662,6.4379
19.934,18.033,8.2441,6.5584
19.74,17.88,7.9997,6.3897
19.911,18.133,8.2035,6.5689
19.82,17.897,8.0012,6.3731
19.629,17.579,7.7945,6.1743
19.355,17.246,7.5867,5.9944
19.601,17.418,7.8726,6.1925
19.186,17.27,7.601,6.0683
19.304,17.273,7.8326,6.1957
19.542,17.772,8.0719,6.4731
19.92,17.982,8.3281,6.6195
20.089,18.474,8.4837,6.8444
19.843,18.275,8.1871,6.6255
20.176,18.442,8.4201,6.7481
20.012,18.449,8.1655,6.6156
19.823,18.004,7.9389,6.3498
19.594,17.862,7.7295,6.2203
19.267,17.738,7.5127,6.1153
19.435,17.98,7.7802,6.3341
19.518,18.182,7.9784,6.5085
19.409,17.726,7.7931,6.2486
19.255,17.682,7.6195,6.1613
18.809,17.367,7.3673,5.9936
19.104,17.56,7.6878,6.2035
19.42,17.824,7.971,6.4082
19.416,17.979,8.1075,6.5484
19.16,17.692,7.8455,6.3337
18.892,17.549,7.6141,6.1956
18.715,17.37,7.4438,6.0647
18.932,17.492,7.72,6.2374
19.208,17.753,7.9773,6.4327
19.549,18.066,8.2246,6.6207
