U1,U2,H1,H2,H3,H4
137.46,138.6,19.423,17.963,7.9336,6.4052
137.46,138.6,19.205,17.754,7.7142,6.2412
137.46,138.6,18.984,17.545,7.5229,6.0988
137.46,138.6,18.762,17.339,7.3565,5.9753
137.46,138.6,18.544,17.137,7.2119,5.8685
137.46,138.6,18.332,16.942,7.0864,5.7761
137.46,138.6,18.126,16.754,6.9777,5.6964
137.46,138.6,17.929,16.575,6.8835,5.6276
137.46,138.6,17.742,16.405,6.8021,5.5683
137.46,138.6,17.565,16.245,6.7318,5.5172
137.46,138.6,17.399,16.094,6.6711,5.4733
137.46,138.6,17.243,15.953,6.6187,5.4355
137.46,138.6,17.097,15.822,6.5735,5.4031
137.46,138.6,16.963,15.7,6.5346,5.3752
137.46,138.6,16.838,15.586,6.501,5.3512
167.46,172.6,16.723,15.482,6.4722,5.3306
167.46,172.6,17.054,15.804,6.8834,5.6392
167.46,172.6,17.4,16.133,7.239,5.9051
167.46,172.6,17.752,16.462,7.5476,6.1351
167.46,172.6,18.103,16.787,7.8162,6.3345
167.46,172.6,18.448,17.103,8.0505,6.5078
167.46,172.6,18.783,17.41,8.2554,6.6587
167.46,172.6,19.107,17.704,8.4348,6.7903
167.46,172.6,19.417,17.985,8.5921,6.9052
167.46,172.6,19.712,18.252,8.7302,7.0057
167.46,172.6,19.993,18.505,8.8516,7.0936
167.46,172.6,20.258,18.745,8.9584,7.1706
167.46,172.6,20.507,18.97,9.0525,7.2381
167.46,172.6,20.742,19.182,9.1353,7.2974
137.46,138.6,20.962,19.381,9.2083,7.3493
167.46,172.6,20.732,19.149,8.8319,7.0654
167.46,172.6,20.919,19.324,8.9411,7.1459
167.46,172.6,21.099,19.492,9.0372,7.2165
167.46,172.6,21.272,19.652,9.1218,7.2783
167.46,172.6,21.436,19.804,9.1964,7.3326
167.46,172.6,21.593,19.949,9.2622,7.3803
167.46,172.6,21.741,20.086,9.3203,7.4221
167.46,172.6,21.88,20.214,9.3715,7.4588
167.46,172.6,22.012,20.336,9.4168,7.4911
167.46,172.6,22.135,20.449,9.4567,7.5195
167.46,172.6,22.251,20.556,9.492,7.5445
167.46,172.6,22.359,20.656,9.5232,7.5664
167.46,172.6,22.459,20.749,9.5508,7.5858
137.46,138.6,22.553,20.835,9.5751,7.6027
137.46,138.6,22.206,20.498,9.1553,7.2878
167.46,172.6,21.845,20.156,8.7852,7.0115
167.46,172.6,21.914,20.23,8.9,7.0987
167.46,172.6,21.989,20.308,9.001,7.1751
167.46,172.6,22.068,20.387,9.09,7.2421
167.46,172.6,22.15,20.467,9.1684,7.3008
167.46,172.6,22.232,20.547,9.2375,7.3523
167.46,172.6,22.313,20.625,9.2984,7.3976
167.46,172.6,22.394,20.702,9.3522,7.4373
167.46,172.6,22.472,20.776,9.3997,7.4722
167.46,172.6,22.548,20.847,9.4417,7.5029
167.46,172.6,22.621,20.915,9.4787,7.5299
167.46,172.6,22.691,20.981,9.5115,7.5536
137.46,138.6,22.758,21.043,9.5404,7.5744
167.46,172.6,22.386,20.683,9.1247,7.263
137.46,138.6,22.44,20.739,9.1989,7.3191
167.46,172.6,22.061,20.378,8.8236,7.0389
167.46,172.6,22.113,20.435,8.9338,7.1227
167.46,172.6,22.172,20.496,9.0308,7.1961
167.46,172.6,22.237,20.561,9.1162,7.2605
167.46,172.6,22.304,20.627,9.1915,7.317
167.46,172.6,22.374,20.694,9.2579,7.3665
167.46,172.6,22.444,20.761,9.3164,7.41
167.46,172.6,22.513,20.826,9.3681,7.4483
167.46,172.6,22.582,20.89,9.4137,7.4818
167.46,172.6,22.648,20.952,9.4541,7.5114
167.46,172.6,22.713,21.012,9.4897,7.5373
137.46,138.6,22.775,21.069,9.5211,7.5601
137.46,138.6,22.4,20.706,9.1077,7.2504
137.46,138.6,22.015,20.34,8.7433,6.9787
137.46,138.6,21.626,19.975,8.4229,6.741
167.46,172.6,21.239,19.615,8.142,6.5335
167.46,172.6,21.294,19.682,8.3355,6.6811
167.46,172.6,21.367,19.761,8.505,6.8098
167.46,172.6,21.451,19.848,8.6537,6.9223
167.46,172.6,21.545,19.94,8.7844,7.0206
167.46,172.6,21.644,20.035,8.8993,7.1067
167.46,172.6,21.746,20.132,9.0004,7.1821
167.46,172.6,21.849,20.229,9.0894,7.2482
167.46,172.6,21.952,20.324,9.1678,7.3062
167.46,172.6,22.054,20.417,9.237,7.357
137.46,138.6,22.153,20.508,9.298,7.4017
167.46,172.6,21.814,20.178,8.9109,7.1113
167.46,172.6,21.9,20.262,9.0106,7.1862
167.46,172.6,21.989,20.347,9.0984,7.2518
137.46,138.6,22.079,20.432,9.1758,7.3093
167.46,172.6,21.734,20.098,8.8033,7.0303
167.46,172.6,21.816,20.18,8.9159,7.1152
167.46,172.6,21.903,20.264,9.015,7.1895
167.46,172.6,21.992,20.349,9.1023,7.2547
167.46,172.6,22.082,20.434,9.1792,7.3119
167.46,172.6,22.172,20.518,9.247,7.3621
167.46,172.6,22.261,20.6,9.3069,7.4061
167.46,172.6,22.347,20.68,9.3597,7.4448
167.46,172.6,22.431,20.757,9.4063,7.4788
137.46,138.6,22.512,20.831,9.4475,7.5087
137.46,138.6,22.154,20.483,9.0427,7.2052
167.46,172.6,21.786,20.132,8.6861,6.9392
167.46,172.6,21.849,20.2,8.8128,7.0354
137.46,138.6,21.921,20.273,8.9243,7.1196
137.46,138.6,21.563,19.931,8.582,6.8642
167.46,172.6,21.201,19.59,8.2814,6.641
167.46,172.6,21.276,19.673,8.4576,6.7748
167.46,172.6,21.365,19.763,8.6121,6.8917
167.46,172.6,21.462,19.86,8.7478,6.9939
167.46,172.6,21.565,19.96,8.8671,7.0833
167.46,172.6,21.671,20.061,8.972,7.1616
167.46,172.6,21.779,20.161,9.0645,7.2302
167.46,172.6,21.886,20.261,9.1459,7.2904
137.46,138.6,21.992,20.358,9.2176,7.3432
167.46,172.6,21.66,20.035,8.8401,7.06
137.46,138.6,21.754,20.126,8.9483,7.1412
167.46,172.6,21.415,19.8,8.6031,6.8831
137.46,138.6,21.506,19.892,8.7399,6.9864
167.46,172.6,21.168,19.57,8.4199,6.7477
137.46,138.6,21.263,19.667,8.5791,6.868
167.46,172.6,20.931,19.351,8.2789,6.6443
167.46,172.6,21.033,19.457,8.4554,6.7777
167.46,172.6,21.146,19.568,8.6102,6.8942
167.46,172.6,21.265,19.683,8.7461,6.9961
167.46,172.6,21.388,19.8,8.8656,7.0852
167.46,172.6,21.512,19.916,8.9707,7.1633
167.46,172.6,21.635,20.03,9.0633,7.2317
137.46,138.6,21.757,20.142,9.1448,7.2917
137.46,138.6,21.44,19.832,8.776,7.0149
137.46,138.6,21.113,19.519,8.4517,6.7726
137.46,138.6,20.781,19.206,8.1672,6.5611
137.46,138.6,20.45,18.896,7.9182,6.3767
137.46,138.6,20.122,18.593,7.7008,6.2164
137.46,138.6,19.803,18.299,7.5113,6.0773
137.46,138.6,19.493,18.016,7.3464,5.9567
167.46,172.6,19.196,17.745,7.2031,5.8524
167.46,172.6,19.349,17.906,7.5164,6.0894
167.46,172.6,19.525,18.082,7.789,6.2949
167.46,172.6,19.715,18.266,8.0267,6.4733
167.46,172.6,19.913,18.454,8.2346,6.6286
167.46,172.6,20.115,18.642,8.4165,6.7641
137.46,138.6,20.318,18.83,8.5761,6.8823
167.46,172.6,20.082,18.595,8.2763,6.6568
167.46,172.6,20.271,18.774,8.4531,6.7886
167.46,172.6,20.462,18.951,8.6081,6.9038
167.46,172.6,20.651,19.125,8.7443,7.0044
167.46,172.6,20.836,19.295,8.864,7.0925
167.46,172.6,21.015,19.459,8.9694,7.1697
167.46,172.6,21.189,19.617,9.0621,7.2373
137.46,138.6,21.355,19.768,9.1438,7.2966
167.46,172.6,21.078,19.494,8.7751,7.0192
167.46,172.6,21.223,19.631,8.8911,7.1054
167.46,172.6,21.367,19.765,8.9931,7.181
167.46,172.6,21.507,19.895,9.083,7.2472
167.46,172.6,21.644,20.022,9.1622,7.3053
137.46,138.6,21.776,20.143,9.2321,7.3563
137.46,138.6,21.467,19.841,8.8528,7.0715
167.46,172.6,21.146,19.533,8.5191,6.8221
167.46,172.6,21.254,19.643,8.6662,6.933
167.46,172.6,21.369,19.756,8.7953,7.03
167.46,172.6,21.487,19.869,8.9089,7.1149
167.46,172.6,21.606,19.982,9.0088,7.1893
167.46,172.6,21.724,20.094,9.0968,7.2545
137.46,138.6,21.841,20.202,9.1744,7.3117
137.46,138.6,21.519,19.889,8.802,7.0324
167.46,172.6,21.187,19.573,8.4745,6.788
167.46,172.6,21.286,19.675,8.627,6.9032
167.46,172.6,21.393,19.781,8.7609,7.0039
167.46,172.6,21.504,19.889,8.8786,7.0921
137.46,138.6,21.618,19.997,8.9822,7.1693
167.46,172.6,21.297,19.687,8.6329,6.9077
137.46,138.6,21.403,19.792,8.766,7.0078
167.46,172.6,21.079,19.482,8.4429,6.7665
167.46,172.6,21.185,19.59,8.5992,6.8844
