H1,H2,H3,H4
19.205,17.754,7.7142,6.2412
18.984,17.545,7.5229,6.0988
18.762,17.339,7.3565,5.9753
18.544,17.137,7.2119,5.8685
18.332,16.942,7.0864,5.7761
18.126,16.754,6.9777,5.6964
17.929,16.575,6.8835,5.6276
17.742,16.405,6.8021,5.5683
17.565,16.245,6.7318,5.5172
17.399,16.094,6.6711,5.4733
17.243,15.953,6.6187,5.4355
17.097,15.822,6.5735,5.4031
16.963,15.7,6.5346,5.3752
16.838,15.586,6.501,5.3512
16.723,15.482,6.4722,5.3306
17.054,15.804,6.8834,5.6392
17.4,16.133,7.239,5.9051
17.752,16.462,7.5476,6.1351
18.103,16.787,7.8162,6.3345
18.448,17.103,8.0505,6.5078
18.783,17.41,8.2554,6.6587
19.107,17.704,8.4348,6.7903
19.417,17.985,8.5921,6.9052
19.712,18.252,8.7302,7.0057
19.993,18.505,8.8516,7.0936
20.258,18.745,8.9584,7.1706
20.507,18.97,9.0525,7.2381
20.742,19.182,9.1353,7.2974
20.962,19.381,9.2083,7.3493
20.732,19.149,8.8319,7.0654
20.919,19.324,8.9411,7.1459
21.099,19.492,9.0372,7.2165
21.272,19.652,9.1218,7.2783
21.436,19.804,9.1964,7.3326
21.593,19.949,9.2622,7.3803
21.741,20.086,9.3203,7.4221
21.88,20.214,9.3715,7.4588
22.012,20.336,9.4168,7.4911
22.135,20.449,9.4567,7.5195
22.251,20.556,9.492,7.5445
22.359,20.656,9.5232,7.5664
22.459,20.749,9.5508,7.5858
22.553,20.835,9.5751,7.6027
22.206,20.498,9.1553,7.2878
21.845,20.156,8.7852,7.0115
21.914,20.23,8.9,7.0987
21.989,20.308,9.001,7.1751
22.068,20.387,9.09,7.2421
22.15,20.467,9.1684,7.3008
22.232,20.547,9.2375,7.3523
22.313,20.625,9.2984,7.3976
22.394,20.702,9.3522,7.4373
22.472,20.776,9.3997,7.4722
22.548,20.847,9.4417,7.5029
22.621,20.915,9.4787,7.5299
22.691,20.981,9.5115,7.5536
22.758,21.043,9.5404,7.5744
22.386,20.683,9.1247,7.263
22.44,20.739,9.1989,7.3191
22.061,20.378,8.8236,7.0389
22.113,20.435,8.9338,7.1227
22.172,20.496,9.0308,7.1961
22.237,20.561,9.1162,7.2605
22.304,20.627,9.1915,7.317
22.374,20.694,9.2579,7.3665
22.444,20.761,9.3164,7.41
22.513,20.826,9.3681,7.4483
22.582,20.89,9.4137,7.4818
22.648,20.952,9.4541,7.5114
22.713,21.012,9.4897,7.5373
22.775,21.069,9.5211,7.5601
