H1,H2,H3,H4
19.162,17.631,7.7395,6.3323
18.781,17.424,7.6957,6.1705
18.616,17.218,7.4234,6.1245
18.45,17.055,7.3417,6.0521
18.149,16.881,7.1822,5.9662
18.095,16.713,6.9898,5.8863
18.022,16.652,6.8363,5.8805
17.815,16.583,6.6871,5.7762
17.648,16.449,6.5966,5.5456
17.472,16.261,6.5065,5.5016
17.268,16.028,6.1964,5.6819
17.137,16.004,6.0928,5.5995
16.875,15.863,6.247,5.5964
16.941,15.612,6.1464,5.5086
16.753,15.628,6.1093,5.5422
17.045,15.983,6.5952,5.8772
17.462,16.2,7.0723,6.1337
17.793,16.499,7.3145,6.3071
18.101,16.904,7.5019,6.4144
18.325,16.859,7.5767,6.4
18.647,16.994,7.7755,6.6809
18.795,17.271,8.1292,6.786
19.174,17.519,8.2037,6.9145
19.612,17.838,8.7004,7.0016
19.83,17.939,8.8205,7.1407
20.194,18.22,8.9187,7.0263
20.571,18.427,8.9862,7.2483
20.633,18.742,9.0944,7.2071
20.715,18.864,9.2639,7.3285
20.574,18.75,8.7969,7.1072
20.733,19.065,9.0387,7.1997
21.012,19.278,8.9629,7.3611
21.267,19.519,9.2159,7.3902
21.513,19.83,9.4163,7.2767
21.815,19.969,9.6701,7.3586
22.053,20.13,9.7261,7.293
22.325,20.244,9.7595,7.1074
22.335,20.399,9.8252,7.2092
22.469,20.694,9.8052,7.377
22.575,20.679,9.7566,7.3648
22.519,20.82,9.6768,7.3973
22.647,20.869,9.5345,7.3468
22.615,20.946,9.4901,7.367
22.393,20.663,9.107,6.9301
21.928,20.236,8.6925,6.7291
22.031,20.178,8.9656,6.9038
22.124,20.129,8.8909,7.0803
22.085,20.125,9.0416,7.3183
21.942,20.348,9.2907,7.255
22.053,20.551,9.2185,7.3531
22.049,20.679,9.1872,7.4303
22.204,20.716,9.203,7.5177
22.336,20.75,9.2887,7.6085
22.582,20.832,9.2059,7.4076
22.685,20.741,9.4087,7.4818
22.677,20.754,9.5677,7.5962
22.789,20.844,9.4475,7.6154
22.303,20.493,9.0882,7.2084
22.359,20.515,9.0581,7.1116
21.967,20.173,8.6151,6.8394
22.005,20.204,8.6983,6.9312
22.016,20.213,8.7199,7.032
22.17,20.336,8.863,7.1932
22.028,20.316,8.9155,7.3635
22.137,20.465,9.076,7.3905
22.299,20.481,9.2495,7.5295
22.449,20.827,9.3683,7.6806
22.581,20.939,9.4307,7.7471
22.654,20.94,9.4119,7.7881
22.781,21.108,9.292,7.7905
22.872,21.285,9.4023,7.7901
22.448,20.862,9.1109,7.4081
22.02,20.531,8.8259,7.1559
21.611,20.243,8.4726,6.9378
21.084,19.942,8.1735,6.6392
21.135,20.04,8.3817,6.7019
21.241,19.951,8.5615,6.798
21.376,20.112,8.7336,6.8592
21.631,20.054,8.837,6.7973
21.692,19.918,8.8512,6.945
21.846,20.061,8.9714,7.1121
22.016,19.939,9.086,7.3235
22.196,19.968,9.154,7.3548
22.173,20.046,9.2344,7.3331
22.281,19.977,9.2788,7.4384
21.951,19.518,8.955,7.3029
21.928,19.694,9.1061,7.4354
21.951,19.939,9.3639,7.3556
22.183,19.96,9.5701,7.5376
21.858,19.883,9.0436,7.2208
21.994,20.097,9.0741,7.2442
22.09,20.192,9.3341,7.4663
22.133,20.375,9.3499,7.4292
22.181,20.638,9.4277,7.3445
22.333,20.696,9.4633,7.4395
22.335,20.915,9.5474,7.4487
22.519,20.817,9.6184,7.5475
22.671,20.861,9.7227,7.5376
22.681,20.976,9.7102,7.7197
22.309,20.611,9.1712,7.3729
21.821,20.478,8.87,6.9365
21.682,20.292,9.0688,6.9354
21.898,20.322,9.1483,6.8594
21.516,20.046,8.7014,6.4808
21.205,19.421,8.447,6.3089
21.323,19.529,8.6003,6.4945
21.425,19.69,9.0246,6.4794
21.463,19.788,9.2048,6.6451
21.523,19.939,9.3089,6.7127
21.646,19.963,9.5192,6.8544
21.698,20.136,9.6362,7.0565
21.771,20.158,9.5662,7.1342
22.082,20.076,9.6503,7.2066
21.795,19.752,9.3051,6.8848
21.806,19.853,9.5329,6.8085
21.524,19.501,9.1383,6.4363
21.552,19.442,9.2611,6.6958
21.134,19.148,8.6868,6.3414
21.237,19.149,8.7527,6.7121
21.023,18.999,8.3855,6.3808
21.142,19.113,8.4282,6.5306
21.306,19.227,8.4998,6.5598
21.279,19.381,8.6873,6.8234
21.348,19.422,8.9288,6.8271
21.457,19.61,8.9805,6.8914
21.466,19.728,9.1904,7.1578
21.486,19.867,9.1898,7.1733
21.295,19.532,8.6758,6.9336
20.972,19.2,8.3254,6.73
20.575,18.881,8.0503,6.6671
20.332,18.596,7.5928,6.4744
20,18.277,7.3443,6.3224
19.55,17.895,7.2363,6.1714
19.367,17.709,7.1431,6.0467
19.087,17.645,6.9881,5.8549
19.373,17.904,7.276,6.0625
19.63,17.948,7.5902,6.1531
19.717,18.013,7.9602,6.1848
19.778,18.138,8.2387,6.2803
19.987,18.288,8.5152,6.4029
20.181,18.405,8.6563,6.4074
19.885,18.175,8.4195,6.2782
20.161,18.254,8.5234,6.3622
20.52,18.35,8.741,6.5172
20.663,18.582,8.9524,6.6169
20.786,18.754,9.1046,6.8071
20.973,19.002,9.1166,7.0156
21.234,19.015,9.1848,6.8771
21.324,19.119,9.1269,6.9362
20.928,18.853,8.8362,6.5472
21.083,18.929,8.7756,6.7349
21.221,19.148,8.9387,6.9058
21.419,19.233,9.1877,6.8806
21.517,19.476,9.1412,7.0239
21.644,19.693,9.3907,7.1473
21.322,19.389,9.0517,6.8588
21.031,18.898,8.4918,6.6906
21.302,18.926,8.553,7.0636
21.338,19.135,8.6056,7.1417
21.302,19.15,8.8683,7.298
21.482,19.339,9.002,7.0895
21.522,19.571,9.0637,7.1995
21.658,19.566,8.9209,7.2668
21.263,19.262,8.5712,7.0387
20.984,18.932,8.3068,6.8335
21.139,19.104,8.5377,6.8954
21.231,19.086,8.9997,6.8148
21.18,19.175,9.2477,6.9695
21.381,19.266,9.4329,7.2429
21.294,19.152,9.0091,6.9647
21.545,19.2,8.9727,6.9446
21.072,18.768,8.5694,6.6584
21.186,19.005,8.4953,6.7607
21.22,19.124,8.6127,6.8778
21.23,19.302,8.775,7.0049
21.236,19.536,8.8298,7.0162
21.4,19.635,8.9938,7.3322
21.059,19.447,8.4981,7.1293
21.18,19.659,8.7437,7.1334
20.838,19.45,8.4339,7.043
20.922,19.423,8.7366,7.2443
21.115,19.645,8.7623,7.325
21.328,19.752,8.9367,7.4395
21.242,19.519,8.5338,7.3829
20.771,19.391,8.3793,7.0521
20.363,19.183,8.243,6.6371
20.188,18.784,7.8248,6.498
20.274,18.99,7.9843,6.7346
20.271,19.138,8.1209,6.7228
20.454,19.377,8.4009,6.7419
20.775,19.496,8.7536,6.9457
20.584,19.252,8.46,6.8777
20.503,18.824,8.1499,6.5748
20.249,18.477,7.8126,6.487
20.116,18.197,7.6635,6.2853
