H1,H2
19.118,17.507
18.615,17.402
18.628,17.197
18.479,17.063
18.035,16.87
18.214,16.701
18.141,16.742
17.811,16.66
17.68,16.465
17.489,16.241
17.249,15.949
17.209,16.087
16.816,15.837
17.159,15.461
16.74,15.731
17.056,16.003
17.569,16.076
17.798,16.446
18.092,16.967
18.242,16.499
18.676,16.811
18.661,17.209
19.245,17.445
19.774,17.842
19.761,17.748
20.28,18.201
20.697,18.376
20.473,18.791
20.571,18.756
20.631,18.822
20.693,19.162
21.081,19.293
21.348,19.563
21.585,19.963
21.944,19.973
22.12,20.158
22.445,20.249
22.215,20.476
22.467,20.914
22.559,20.597
22.359,20.893
22.673,20.859
22.509,20.974
22.535,20.755
21.848,20.21
22.084,20.087
22.146,20.021
21.993,20.036
21.725,20.458
22.047,20.668
21.948,20.729
22.266,20.679
22.386,20.701
22.751,20.826
22.744,20.592
22.612,20.691
22.827,20.846
22.202,20.479
22.357,20.471
21.962,20.196
22.005,20.182
21.984,20.161
22.28,20.388
21.841,20.217
22.179,20.513
22.389,20.408
22.522,21.068
22.639,20.96
22.658,20.853
22.849,21.184
22.929,21.385
22.422,20.795
21.983,20.561
21.582,20.316
20.936,20.003
21.112,20.088
21.253,19.814
21.408,20.206
21.775,19.935
21.657,19.724
21.909,20.116
22.096,19.721
22.29,19.867
22.074,19.991
22.302,19.786
21.975,19.336
21.827,19.702
21.877,20.017
22.291,19.846
21.845,20.07
22.033,20.187
22.098,20.18
22.069,20.434
22.125,20.797
22.377,20.686
22.24,21.059
22.597,20.663
22.728,20.829
22.599,21.02
22.282,20.583
21.702,20.687
21.462,20.071
21.997,20.299
21.464,20.149
21.238,19.193
21.346,19.579
21.427,19.781
21.362,19.832
21.428,20.026
21.608,19.928
21.58,20.236
21.666,20.099
22.23,19.905
21.801,19.741
21.684,19.858
21.52,19.489
21.439,19.317
20.999,19.169
21.211,19.062
21.118,19.135
21.154,19.12
21.372,19.227
21.163,19.429
21.302,19.338
21.431,19.678
21.344,19.734
21.354,19.876
21.388,19.495
20.973,19.162
20.511,18.852
20.412,18.577
20.023,18.22
19.451,17.763
19.501,17.754
19.116,17.81
19.521,17.991
19.744,17.82
19.648,17.899
19.648,18.085
19.98,18.263
20.148,18.344
19.8,18.197
20.211,18.16
20.669,18.27
20.609,18.63
20.701,18.75
20.948,19.07
21.3,18.846
21.238,19.057
20.808,18.844
21.071,18.864
21.215,19.21
21.467,19.163
21.457,19.573
21.629,19.772
21.279,19.369
21.023,18.698
21.455,18.801
21.277,19.148
21.168,18.979
21.529,19.327
21.431,19.642
21.662,19.41
21.2,19.216
21.037,18.86
21.195,19.108
21.21,18.908
20.975,19.112
21.395,19.197
21.453,19.271
21.647,19.086
20.914,18.598
21.178,19.079
21.152,19.091
21.127,19.326
21.112,19.617
21.429,19.601
21.016,19.517
21.185,19.716
20.801,19.524
20.875,19.252
21.152,19.698
21.401,19.701
21.453,19.541
20.635,19.504
20.261,19.242
20.291,18.683
20.235,19.055
20.133,19.135
20.486,19.482
20.93,19.5
20.655,19.299
20.699,18.671
20.299,18.401
20.302,18.167
20.161,18.16
20.104,18.536
19.901,18.339
20.328,18.566
20.15,18.665
20.584,18.825
20.148,18.527
20.489,18.776
20.38,18.829
20.668,19.015
19.968,18.588
20.23,19.011
20.549,19.288
20.613,19.369
20.638,19.305
20.538,19.226
19.834,18.532
19.549,18.784
20.051,18.432
20.111,18.669
19.953,18.419
19.846,18.097
19.476,18.528
19.736,18.802
19.405,18.377
19.018,17.964
19.287,17.972
19.831,18.438
19.451,17.986
19.481,17.989
18.985,17.533
19.263,17.477
18.87,17.507
19.282,17.47
18.958,17.423
19.312,17.645
19.204,17.712
19.36,17.738
19.368,17.692
19.983,17.774
19.624,17.481
19.735,17.9
19.662,17.707
19.742,17.513
19.687,17.738
19.671,17.697
19.38,17.289
19.101,17.124
19.117,16.895
19.114,16.714
18.572,16.556
18.421,17.034
18.032,16.709
18.043,16.345
17.288,16.481
17.557,16.258
17.35,15.697
17.24,15.53
17.743,15.605
17.426,15.884
17.727,16.281
17.82,16.538
17.959,16.719
18.336,17.177
18.798,17.787
19.01,18.195
19.136,18.123
19.815,18.037
19.859,18.507
20.199,18.551
20.467,18.786
20.663,19.454
20.554,19.051
20.225,18.507
19.663,18.597
19.794,18.753
20.136,18.971
20.037,19.152
20.27,19.594
20.289,19.267
20.313,19.816
20.414,19.44
20.638,19.694
20.887,19.739
21.025,19.84
21.427,20.021
20.975,19.847
20.825,19.649
21.108,20.084
20.807,19.942
20.978,19.941
21.16,19.977
21.506,19.941
21.405,20.488
21.641,20.612
21.729,20.32
21.737,20.319
22.352,20.543
22.166,20.259
21.971,20.414
22.121,20.149
21.616,20.164
21.408,20.318
21.296,20.294
21.127,19.876
20.872,19.551
21.064,19.743
21.122,19.956
21.014,19.908
21.493,19.832
21.489,20.237
21.73,20.18
21.646,20.345
21.708,20.595
21.523,20.37
21.614,20.321
21.632,20.038
21.015,19.714
21.549,20.16
21.285,19.554
20.84,19.466
20.843,19.575
