U1,U2,T1,T2
30,40,301,301
30,40,301.59,301.57
30,40,302.17,302.13
30,40,302.73,302.67
30,40,303.28,303.2
30,40,303.81,303.72
30,40,304.33,304.22
30,40,304.84,304.71
30,40,305.34,305.2
30,40,305.82,305.66
30,40,306.29,306.12
30,40,306.74,306.57
30,40,307.19,307.01
30,40,307.62,307.43
30,40,308.05,307.85
30,40,308.46,308.25
30,40,308.86,308.65
30,40,309.25,309.03
30,40,309.63,309.41
30,40,310,309.77
30,40,310.36,310.13
30,40,310.72,310.48
30,40,311.06,310.82
30,40,311.39,311.15
30,40,311.72,311.47
30,40,312.04,311.79
30,40,312.34,312.09
30,40,312.65,312.39
30,40,312.94,312.68
30,40,313.22,312.97
30,40,313.5,313.24
30,40,313.77,313.51
30,40,314.04,313.78
30,40,314.29,314.03
30,40,314.54,314.28
30,40,314.79,314.52
30,40,315.02,314.76
30,40,315.26,314.99
30,40,315.48,315.21
30,40,315.7,315.43
30,40,315.91,315.65
30,40,316.12,315.85
30,40,316.32,316.06
30,40,316.52,316.25
30,40,316.71,316.44
30,40,316.9,316.63
30,40,317.08,316.81
30,40,317.26,316.99
30,40,317.43,317.16
30,40,317.6,317.33
30,40,317.76,317.49
30,40,317.92,317.65
30,40,318.08,317.81
30,40,318.23,317.96
30,40,318.37,318.11
30,40,318.52,318.25
30,40,318.66,318.39
30,40,318.79,318.52
30,40,318.92,318.66
30,40,319.05,318.78
30,40,319.18,318.91
30,40,319.3,319.03
30,40,319.42,319.15
30,40,319.53,319.27
30,40,319.64,319.38
30,40,319.75,319.49
30,40,319.86,319.59
30,40,319.96,319.7
30,40,320.06,319.8
30,40,320.16,319.9
30,40,320.26,319.99
30,40,320.35,320.09
30,40,320.44,320.18
30,40,320.53,320.27
30,40,320.62,320.35
30,40,320.7,320.44
30,40,320.78,320.52
30,40,320.86,320.6
30,40,320.94,320.67
30,40,321.01,320.75
30,40,321.08,320.82
30,40,321.16,320.89
30,40,321.22,320.96
30,40,321.29,321.03
30,40,321.36,321.09
30,40,321.42,321.16
30,40,321.48,321.22
30,40,321.54,321.28
30,40,321.6,321.34
30,40,321.66,321.4
30,40,321.71,321.45
30,40,321.77,321.51
30,40,321.82,321.56
30,40,321.87,321.61
30,40,321.92,321.66
30,40,321.97,321.71
30,40,322.02,321.76
30,40,322.06,321.8
30,40,322.11,321.85
30,40,322.15,321.89
30,40,322.19,321.93
30,40,322.24,321.98
30,40,322.28,322.02
30,40,322.31,322.06
30,40,322.35,322.09
30,40,322.39,322.13
30,40,322.43,322.17
30,40,322.46,322.2
30,40,322.49,322.24
30,40,322.53,322.27
