Y1(C),Y2(C)
27.713,28.201
28.201,28.201
28.201,29.179
31.623,32.111
32.111,31.134
32.6,32.111
32.6,32.111
33.089,34.066
34.066,33.089
34.066,34.066
34.066,33.578
34.066,34.066
35.044,34.555
35.044,36.022
35.044,35.044
35.533,35.533
36.022,36.999
36.022,36.022
36.999,37.488
36.999,36.51
36.999,36.999
37.488,36.999
37.977,37.488
37.977,37.977
37.977,37.977
38.954,37.488
38.954,39.932
38.954,38.465
39.932,38.954
39.932,40.909
39.932,39.443
40.42,39.932
40.909,39.932
40.909,40.42
40.909,40.42
40.909,40.42
41.398,41.398
41.887,42.375
41.887,41.398
41.887,41.398
41.887,41.887
42.375,43.353
41.887,41.887
42.864,42.375
42.375,42.864
42.864,43.842
42.864,42.864
43.353,43.353
43.353,43.353
43.353,43.353
43.842,43.842
43.842,43.842
44.33,45.308
44.33,44.33
44.33,44.33
44.33,44.33
44.33,44.33
44.33,44.33
45.308,44.819
44.819,45.308
45.308,46.285
44.819,45.308
45.308,45.308
45.308,46.774
45.797,45.308
45.308,45.797
45.797,47.263
45.797,45.797
45.797,46.285
46.285,47.752
46.285,46.285
45.797,46.285
46.774,46.285
46.285,46.774
46.285,46.774
46.285,46.774
46.285,46.774
46.774,46.774
46.774,48.729
46.285,46.774
46.774,47.263
46.774,47.263
47.263,47.752
47.752,47.752
47.263,47.752
47.752,47.752
47.263,47.752
47.263,48.24
47.263,47.752
48.24,47.263
47.752,48.24
47.752,47.752
47.752,48.24
47.263,48.24
48.24,48.24
47.752,48.24
47.752,49.707
47.752,48.729
48.24,50.196
47.752,48.24
47.752,48.24
48.24,48.729
47.752,49.218
48.24,48.729
48.24,48.729
48.24,50.196
47.752,48.729
48.729,50.196
48.24,49.218
48.24,48.729
48.729,48.729
48.24,48.729
48.24,48.729
47.752,48.729
48.24,49.218
48.24,49.218
47.752,48.729
48.24,50.196
47.752,49.707
48.24,50.684
48.24,49.218
48.24,49.218
48.24,49.218
48.24,49.218
48.24,49.218
48.24,49.707
48.729,48.729
47.752,49.218
48.729,51.173
48.24,49.218
48.24,49.218
48.729,49.218
48.24,50.684
48.729,51.173
48.729,49.218
48.24,49.218
48.729,49.707
49.218,51.173
48.729,50.196
48.729,49.707
49.218,51.173
48.729,49.707
48.729,49.707
48.24,49.218
49.218,50.684
48.729,49.707
48.24,49.707
48.729,49.707
49.218,49.707
49.218,49.707
49.707,49.707
49.218,50.196
48.729,50.196
49.218,51.173
48.729,50.196
48.729,49.707
48.24,49.707
48.729,49.707
48.729,49.707
49.218,50.196
49.218,49.707
49.218,49.707
49.218,51.662
48.729,49.707
48.729,49.707
49.218,51.173
49.218,49.707
49.218,50.196
49.218,51.173
48.729,50.196
48.729,50.196
48.24,50.196
48.729,51.173
48.729,49.707
49.218,50.196
48.729,50.196
48.729,51.173
48.729,50.196
49.218,50.196
49.218,50.684
48.729,52.151
48.729,49.707
49.218,49.707
48.24,50.196
48.729,51.173
48.729,50.196
49.218,49.707
48.729,50.196
49.218,51.662
48.729,51.662
49.218,50.196
49.218,51.662
49.707,50.196
48.729,50.196
49.218,50.196
48.729,50.196
49.218,50.196
48.729,50.196
49.218,51.173
49.218,50.196
48.729,50.684
49.218,51.662
48.729,51.662
48.729,50.196
48.729,50.196
49.218,49.707
48.729,50.196
48.729,50.196
49.218,50.196
49.218,51.662
49.218,50.196
49.218,50.196
49.707,50.684
49.218,50.196
49.707,50.196
49.707,52.151
49.218,50.196
49.218,50.196
48.729,50.196
48.729,50.196
49.218,50.196
49.218,51.662
48.729,50.196
49.218,50.196
49.707,51.662
49.218,50.684
49.218,50.196
49.218,50.196
49.707,50.684
49.707,52.151
49.707,50.684
49.707,50.684
49.707,50.684
49.218,50.196
50.196,50.684
49.707,50.684
49.218,51.173
49.218,50.684
49.707,50.684
50.196,52.151
49.707,51.173
49.707,50.684
50.196,52.151
49.707,50.684
50.196,51.173
49.707,50.684
49.707,50.684
49.707,50.684
50.196,51.173
49.707,50.684
50.196,52.151
49.707,50.684
49.707,51.662
49.707,50.684
49.707,50.684
50.196,50.684
50.196,51.662
49.707,51.173
50.196,50.684
50.684,50.684
50.684,52.639
50.196,51.173
49.707,51.173
50.684,52.639
50.684,51.662
50.196,51.173
49.707,51.662
51.173,52.639
50.684,51.173
51.173,51.662
51.173,53.128
51.173,51.662
51.662,53.128
51.173,52.151
51.173,51.662
51.662,52.151
51.662,52.639
51.662,52.639
52.151,52.151
52.151,52.151
52.639,52.639
52.639,53.617
52.151,52.151
52.639,52.639
53.617,53.128
54.106,53.617
53.617,53.128
53.617,53.128
54.594,52.639
54.106,54.106
54.106,52.639
54.106,53.128
54.594,53.128
54.594,53.617
55.083,55.083
55.083,53.128
56.061,55.083
55.083,53.617
55.572,53.617
55.572,56.061
56.061,55.572
55.572,54.594
56.549,56.061
56.061,56.061
56.061,54.594
56.061,55.083
56.061,55.083
56.549,55.083
57.038,56.061
56.061,55.572
56.061,57.038
56.061,55.572
55.572,57.527
55.083,55.572
55.572,55.572
55.083,56.061
55.083,55.572
54.594,57.038
55.083,55.572
54.594,55.572
54.594,55.572
54.594,55.572
54.594,57.038
54.106,55.572
54.594,57.038
53.617,55.083
53.617,55.083
55.083,56.549
54.594,55.083
54.106,57.038
54.594,55.572
54.106,57.038
54.106,55.083
53.617,55.572
54.594,55.572
55.083,56.061
55.083,57.527
55.572,56.061
55.572,56.061
56.061,57.527
56.061,56.061
56.549,56.549
56.061,58.016
56.061,56.549
56.549,57.038
56.549,58.504
57.038,57.038
57.527,57.038
57.527,57.527
57.038,58.504
57.038,57.527
56.549,58.016
56.549,58.993
56.549,57.527
56.549,57.527
56.549,58.016
56.549,57.527
57.038,59.482
56.549,57.527
56.549,59.482
56.549,58.016
55.572,58.016
56.549,59.482
56.061,58.016
55.572,58.016
56.549,59.971
56.549,58.016
56.549,59.971
56.549,58.016
56.061,58.016
56.549,59.971
56.549,58.016
56.061,59.971
57.038,58.504
58.016,58.993
58.016,58.504
58.016,58.504
57.527,58.993
58.016,60.459
58.016,58.504
58.504,59.971
57.527,58.993
58.504,60.459
58.016,58.993
58.993,58.504
58.993,60.459
58.504,58.993
58.993,59.482
58.016,59.482
58.016,59.482
58.016,58.993
58.504,60.948
57.527,59.971
57.038,58.993
57.527,60.948
57.527,58.993
57.527,60.948
56.549,59.482
56.549,60.948
56.549,58.993
55.572,59.482
56.061,60.459
55.572,58.993
55.572,58.993
55.083,58.993
55.083,60.459
54.594,58.993
54.594,58.993
54.594,59.971
54.594,58.993
54.106,58.993
54.106,58.016
53.617,58.016
53.617,58.016
53.617,59.482
54.106,58.016
53.617,58.016
53.617,58.993
53.128,57.038
53.617,58.016
53.128,57.038
53.128,56.549
53.128,56.549
52.639,56.549
52.639,55.572
52.639,55.572
51.662,55.572
52.151,56.549
52.151,54.594
51.662,54.594
52.151,55.572
51.662,54.106
51.173,54.594
51.662,54.106
51.173,56.061
51.662,55.083
51.662,54.106
52.151,55.083
51.662,54.106
51.662,54.106
52.639,55.572
52.151,54.106
52.639,54.106
52.639,53.617
52.639,54.594
52.639,55.572
52.639,55.572
52.151,54.106
53.128,55.083
53.128,56.061
