U1,U2,T1,T2
40,60,301,301
40,60,301.79,301.85
40,60,302.56,302.68
40,60,303.32,303.49
40,60,304.06,304.28
40,60,304.78,305.04
40,60,305.49,305.79
40,60,306.17,306.51
40,60,306.85,307.22
40,60,307.5,307.91
40,60,308.14,308.58
40,60,308.77,309.23
40,60,309.38,309.87
40,60,309.98,310.48
40,60,310.56,311.09
40,60,311.13,311.67
40,60,311.68,312.24
40,60,312.22,312.79
40,60,312.75,313.33
40,60,313.26,313.86
40,60,313.76,314.37
40,60,314.25,314.87
40,60,314.72,315.35
40,60,315.19,315.83
40,60,315.64,316.29
40,60,316.08,316.73
40,60,316.51,317.17
40,60,316.93,317.59
40,60,317.34,318
40,60,317.73,318.4
40,60,318.12,318.79
40,60,318.5,319.17
40,60,318.86,319.54
40,60,319.22,319.9
40,60,319.57,320.25
40,60,319.91,320.59
40,60,320.24,320.92
40,60,320.56,321.24
40,60,320.87,321.56
40,60,321.17,321.86
40,60,321.47,322.16
40,60,321.76,322.45
40,60,322.04,322.73
40,60,322.31,323
40,60,322.58,323.27
40,60,322.84,323.53
40,60,323.09,323.78
40,60,323.34,324.02
40,60,323.57,324.26
40,60,323.81,324.49
40,60,324.03,324.72
40,60,324.25,324.94
40,60,324.47,325.15
40,60,324.68,325.36
40,60,324.88,325.56
40,60,325.07,325.76
40,60,325.27,325.95
40,60,325.45,326.13
40,60,325.63,326.31
40,60,325.81,326.49
40,60,325.98,326.66
40,60,326.15,326.83
40,60,326.31,326.99
40,60,326.47,327.15
40,60,326.62,327.3
40,60,326.77,327.45
40,60,326.92,327.59
40,60,327.06,327.73
40,60,327.2,327.87
40,60,327.33,328
40,60,327.46,328.13
40,60,327.59,328.26
40,60,327.71,328.38
40,60,327.83,328.5
40,60,327.94,328.61
40,60,328.06,328.73
40,60,328.17,328.84
40,60,328.27,328.94
40,60,328.38,329.04
40,60,328.48,329.15
40,60,328.58,329.24
40,60,328.67,329.34
40,60,328.77,329.43
40,60,328.86,329.52
40,60,328.94,329.61
40,60,329.03,329.69
40,60,329.11,329.77
40,60,329.19,329.85
40,60,329.27,329.93
40,60,329.35,330.01
40,60,329.42,330.08
40,60,329.49,330.15
40,60,329.56,330.22
40,60,329.63,330.29
40,60,329.7,330.36
40,60,329.76,330.42
40,60,329.83,330.48
40,60,329.89,330.54
40,60,329.95,330.6
40,60,330,330.66
40,60,330.06,330.71
40,60,330.11,330.77
40,60,330.17,330.82
40,60,330.22,330.87
40,60,330.27,330.92
40,60,330.32,330.97
40,60,330.36,331.02
40,60,330.41,331.06
40,60,330.45,331.11
40,60,330.5,331.15
40,60,330.54,331.19
40,60,330.58,331.23
40,60,330.62,331.27
40,60,330.66,331.31
40,60,330.7,331.35
40,60,330.73,331.38
40,60,330.77,331.42
40,60,330.8,331.45
40,60,330.84,331.49
40,60,330.87,331.52
40,60,330.9,331.55
40,60,330.93,331.58
40,60,330.96,331.61
40,60,330.99,331.64
40,60,331.02,331.67
40,60,331.05,331.7
40,60,331.07,331.72
40,60,331.1,331.75
40,60,331.12,331.77
40,60,331.15,331.8
40,60,331.17,331.82
40,60,331.19,331.84
40,60,331.22,331.87
40,60,331.24,331.89
40,60,331.26,331.91
40,60,331.28,331.93
40,60,331.3,331.95
40,60,331.32,331.97
40,60,331.34,331.99
40,60,331.36,332.01
40,60,331.38,332.02
40,60,331.39,332.04
40,60,331.41,332.06
40,60,331.43,332.08
40,60,331.44,332.09
40,60,331.46,332.11
40,60,331.47,332.12
40,60,331.49,332.14
40,60,331.5,332.15
40,60,331.52,332.16
40,60,331.53,332.18
40,60,331.54,332.19
40,60,331.56,332.2
40,60,331.57,332.22
40,60,331.58,332.23
40,60,331.59,332.24
40,60,331.6,332.25
40,60,331.61,332.26
40,60,331.63,332.27
40,60,331.64,332.28
40,60,331.65,332.29
40,60,331.66,332.3
40,60,331.67,332.31
40,60,331.68,332.32
40,60,331.68,332.33
40,60,331.69,332.34
40,60,331.7,332.35
40,60,331.71,332.36
40,60,331.72,332.36
40,60,331.73,332.37
40,60,331.73,332.38
40,60,331.74,332.39
40,60,331.75,332.39
40,60,331.75,332.4
40,60,331.76,332.41
40,60,331.77,332.41
40,60,331.77,332.42
40,60,331.78,332.43
40,60,331.79,332.43
40,60,331.79,332.44
40,60,331.8,332.44
40,60,331.8,332.45
40,60,331.81,332.46
40,60,331.82,332.46
40,60,331.82,332.47
40,60,331.83,332.47
40,60,331.83,332.48
40,60,331.83,332.48
40,60,331.84,332.48
40,60,331.84,332.49
40,60,331.85,332.49
40,60,331.85,332.5
40,60,331.86,332.5
40,60,331.86,332.51
40,60,331.86,332.51
40,60,331.87,332.51
40,60,331.87,332.52
40,60,331.88,332.52
40,60,331.88,332.52
40,60,331.88,332.53
40,60,331.89,332.53
40,60,331.89,332.53
40,60,331.89,332.54
40,60,331.89,332.54
40,60,331.9,332.54
40,60,331.9,332.54
40,60,331.9,332.55
40,60,331.91,332.55
40,60,331.91,332.55
40,60,331.91,332.56
40,60,331.91,332.56
40,60,331.92,332.56
40,60,331.92,332.56
40,60,331.92,332.56
40,60,331.92,332.57
40,60,331.92,332.57
40,60,331.93,332.57
40,60,331.93,332.57
40,60,331.93,332.57
40,60,331.93,332.58
40,60,331.93,332.58
40,60,331.94,332.58
40,60,331.94,332.58
40,60,331.94,332.58
40,60,331.94,332.59
40,60,331.94,332.59
40,60,331.94,332.59
40,60,331.95,332.59
40,60,331.95,332.59
40,60,331.95,332.59
40,60,331.95,332.59
40,60,331.95,332.6
40,60,331.95,332.6
40,60,331.95,332.6
40,60,331.95,332.6
40,60,331.96,332.6
40,60,331.96,332.6
40,60,331.96,332.6
40,60,331.96,332.6
40,60,331.96,332.6
40,60,331.96,332.61
40,60,331.96,332.61
40,60,331.96,332.61
40,60,331.96,332.61
40,60,331.97,332.61
40,60,331.97,332.61
40,60,331.97,332.61
40,60,331.97,332.61
40,60,331.97,332.61
40,60,331.97,332.61
40,60,331.97,332.61
40,60,331.97,332.62
40,60,331.97,332.62
40,60,331.97,332.62
40,60,331.97,332.62
40,60,331.97,332.62
40,60,331.97,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.62
40,60,331.98,332.63
52,75,331.98,332.63
52,75,332.22,332.84
52,75,332.45,333.05
52,75,332.67,333.25
52,75,332.88,333.45
52,75,333.09,333.64
52,75,333.3,333.83
52,75,333.49,334.01
52,75,333.68,334.19
52,75,333.87,334.37
52,75,334.05,334.53
52,75,334.22,334.7
52,75,334.39,334.86
52,75,334.55,335.02
52,75,334.71,335.17
52,75,334.86,335.31
52,75,335.01,335.46
52,75,335.16,335.6
52,75,335.3,335.73
52,75,335.43,335.87
52,75,335.56,335.99
52,75,335.69,336.12
52,75,335.82,336.24
52,75,335.94,336.36
52,75,336.06,336.47
52,75,336.17,336.58
52,75,336.28,336.69
52,75,336.39,336.8
52,75,336.49,336.9
52,75,336.59,337
52,45,336.69,337.1
52,45,336.78,336.77
52,45,336.85,336.47
52,45,336.91,336.19
52,45,336.95,335.93
52,45,336.98,335.69
52,45,337,335.46
52,45,337.01,335.25
52,45,337.02,335.05
52,45,337.02,334.87
52,45,337.01,334.7
52,45,336.99,334.53
52,45,336.98,334.38
52,45,336.95,334.23
52,45,336.93,334.1
52,45,336.9,333.97
52,45,336.87,333.85
52,45,336.83,333.73
52,45,336.8,333.62
52,45,336.76,333.52
52,45,336.72,333.42
52,45,336.68,333.33
52,45,336.64,333.24
52,45,336.6,333.15
52,45,336.56,333.07
52,45,336.52,332.99
52,45,336.48,332.92
52,45,336.44,332.85
52,45,336.4,332.78
52,45,336.36,332.71
28,75,336.32,332.65
28,75,335.83,333
28,75,335.37,333.31
28,75,334.96,333.59
28,75,334.58,333.84
28,75,334.23,334.05
28,75,333.91,334.25
28,75,333.62,334.42
28,75,333.35,334.57
28,75,333.1,334.7
28,75,332.87,334.81
28,75,332.66,334.91
28,75,332.47,335
28,75,332.29,335.07
28,75,332.13,335.14
28,75,331.97,335.19
28,75,331.83,335.24
28,75,331.7,335.28
28,75,331.58,335.31
28,75,331.46,335.33
28,75,331.36,335.36
28,75,331.26,335.37
28,75,331.17,335.38
28,75,331.08,335.39
28,75,331,335.39
28,75,330.93,335.4
28,75,330.86,335.4
28,75,330.79,335.39
28,75,330.73,335.39
28,75,330.67,335.38
28,75,330.61,335.37
28,75,330.56,335.36
28,75,330.51,335.35
28,75,330.46,335.34
28,75,330.42,335.33
28,75,330.38,335.31
28,75,330.33,335.3
28,75,330.3,335.29
28,75,330.26,335.27
28,75,330.23,335.26
28,75,330.19,335.24
28,75,330.16,335.23
28,75,330.13,335.21
28,75,330.1,335.19
28,75,330.07,335.18
28,75,330.05,335.16
28,75,330.02,335.15
28,75,330,335.13
28,75,329.97,335.12
28,75,329.95,335.1
28,75,329.93,335.09
28,75,329.91,335.07
28,75,329.89,335.06
28,75,329.87,335.05
28,75,329.85,335.03
28,75,329.83,335.02
28,75,329.82,335.01
28,75,329.8,334.99
28,75,329.78,334.98
28,75,329.77,334.97
52,45,329.75,334.96
52,45,330.19,334.53
52,45,330.6,334.15
52,45,330.96,333.81
52,45,331.29,333.5
52,45,331.59,333.22
52,45,331.87,332.96
52,45,332.11,332.73
52,45,332.34,332.53
52,45,332.54,332.34
52,45,332.73,332.17
52,45,332.9,332.02
52,45,333.05,331.88
52,45,333.19,331.76
52,45,333.31,331.65
52,45,333.43,331.55
52,45,333.53,331.46
52,45,333.63,331.37
52,45,333.72,331.3
52,45,333.79,331.23
52,45,333.87,331.18
52,45,333.93,331.12
52,45,333.99,331.07
52,45,334.04,331.03
52,45,334.09,330.99
52,45,334.14,330.96
52,45,334.18,330.93
52,45,334.22,330.9
52,45,334.25,330.88
52,45,334.28,330.85
52,45,334.31,330.83
52,45,334.34,330.82
52,45,334.36,330.8
52,45,334.38,330.79
52,45,334.41,330.78
52,45,334.42,330.77
52,45,334.44,330.76
52,45,334.46,330.75
52,45,334.47,330.74
52,45,334.48,330.73
52,45,334.5,330.73
52,45,334.51,330.72
52,45,334.52,330.72
52,45,334.53,330.72
52,45,334.54,330.71
52,45,334.55,330.71
52,45,334.55,330.71
52,45,334.56,330.71
52,45,334.57,330.71
52,45,334.57,330.71
52,45,334.58,330.7
52,45,334.59,330.7
52,45,334.59,330.7
52,45,334.59,330.7
52,45,334.6,330.7
52,45,334.6,330.7
52,45,334.61,330.7
52,45,334.61,330.71
52,45,334.61,330.71
52,45,334.62,330.71
28,75,334.62,330.71
28,75,334.17,331.12
28,75,333.75,331.49
28,75,333.38,331.82
28,75,333.04,332.12
28,75,332.73,332.4
28,75,332.45,332.64
28,75,332.19,332.86
28,75,331.96,333.06
28,75,331.74,333.24
28,75,331.55,333.4
28,75,331.37,333.54
28,75,331.21,333.67
28,75,331.07,333.79
28,75,330.93,333.89
28,75,330.81,333.98
28,75,330.7,334.07
28,75,330.6,334.14
28,75,330.5,334.21
28,75,330.42,334.27
28,75,330.34,334.32
28,75,330.27,334.37
28,75,330.2,334.41
28,75,330.14,334.44
28,75,330.09,334.48
28,75,330.04,334.51
28,75,329.99,334.53
28,75,329.95,334.55
28,75,329.91,334.57
28,75,329.87,334.59
52,45,329.83,334.6
52,45,330.26,334.21
52,45,330.65,333.85
52,45,331,333.52
52,45,331.32,333.23
52,45,331.61,332.97
52,45,331.87,332.73
52,45,332.11,332.51
52,45,332.33,332.32
52,45,332.53,332.15
52,45,332.71,331.99
52,45,332.87,331.85
52,45,333.02,331.72
52,45,333.16,331.61
52,45,333.28,331.5
52,45,333.39,331.41
52,45,333.49,331.33
52,45,333.59,331.25
52,45,333.67,331.18
52,45,333.75,331.12
52,45,333.82,331.07
52,45,333.88,331.02
52,45,333.94,330.98
52,45,334,330.94
52,45,334.05,330.91
52,45,334.09,330.87
52,45,334.13,330.85
52,45,334.17,330.82
52,45,334.21,330.8
52,45,334.24,330.78
52,45,334.27,330.77
52,45,334.29,330.75
52,45,334.32,330.74
52,45,334.34,330.73
52,45,334.36,330.72
52,45,334.38,330.71
52,45,334.4,330.7
52,45,334.42,330.69
52,45,334.43,330.69
52,45,334.45,330.69
52,45,334.46,330.68
52,45,334.47,330.68
52,45,334.48,330.68
52,45,334.49,330.67
52,45,334.5,330.67
52,45,334.51,330.67
52,45,334.52,330.67
52,45,334.53,330.67
52,45,334.54,330.67
52,45,334.54,330.67
52,45,334.55,330.67
52,45,334.56,330.67
52,45,334.56,330.67
52,45,334.57,330.67
52,45,334.57,330.67
52,45,334.58,330.67
52,45,334.58,330.68
52,45,334.59,330.68
52,45,334.59,330.68
52,45,334.59,330.68
28,75,334.6,330.68
28,75,334.14,331.09
28,75,333.73,331.47
28,75,333.36,331.8
28,75,333.02,332.1
28,75,332.71,332.37
28,75,332.43,332.62
28,75,332.17,332.84
28,75,331.94,333.04
28,75,331.73,333.22
28,75,331.53,333.38
28,75,331.36,333.52
28,75,331.2,333.65
28,75,331.05,333.77
28,75,330.92,333.87
28,75,330.79,333.97
28,75,330.68,334.05
28,75,330.58,334.13
28,75,330.49,334.19
28,75,330.4,334.25
28,75,330.33,334.31
28,75,330.25,334.35
28,75,330.19,334.39
28,75,330.13,334.43
28,75,330.07,334.47
28,75,330.02,334.49
28,75,329.98,334.52
28,75,329.93,334.54
28,75,329.89,334.56
28,75,329.86,334.58
28,75,329.82,334.59
28,75,329.79,334.61
28,75,329.76,334.62
28,75,329.74,334.63
28,75,329.71,334.64
28,75,329.69,334.64
28,75,329.67,334.65
28,75,329.65,334.65
28,75,329.63,334.66
28,75,329.61,334.66
28,75,329.6,334.66
28,75,329.58,334.66
28,75,329.57,334.66
28,75,329.55,334.66
28,75,329.54,334.66
28,75,329.53,334.66
28,75,329.52,334.66
28,75,329.51,334.66
28,75,329.5,334.66
28,75,329.49,334.66
