U1,U2,T1,T2
30,40,28.704,28.682
30,40,28.744,29.07
30,40,28.541,28.847
30,40,28.308,29.072
30,40,30.731,31.584
30,40,33.604,33.173
30,40,35.005,33.682
30,40,34.332,33.039
30,40,33.062,33.449
30,40,33.055,33.556
30,40,33.918,34.116
30,40,34.752,34.242
30,40,34.941,34.333
30,40,35.257,34.677
30,40,35.436,36.008
30,40,35.417,36.32
30,40,35.61,36.052
30,40,36.149,36.657
30,40,36.549,36.714
30,40,37.257,37.42
30,40,37.668,37.348
30,40,37.555,37.145
30,40,37.515,36.99
30,40,37.912,37.342
30,40,38.329,38.149
30,40,38.466,38.672
30,40,39.014,38.256
30,40,39.42,39.29
30,40,39.464,39.486
30,40,39.918,39.312
30,40,40.314,40.445
30,40,40.408,40.57
30,40,40.56,40.261
30,40,40.981,39.887
30,40,41.273,40.109
30,40,41.275,40.573
30,40,41.084,40.852
30,40,41.258,41.503
30,40,41.922,42.649
30,40,42.446,42.591
30,40,42.458,41.747
30,40,42.086,41.332
30,40,42.094,42.574
30,40,42.043,42.975
30,40,42.684,42.86
30,40,42.957,42.849
30,40,43.135,43.621
30,40,43.137,43.645
30,40,43.355,43.492
30,40,43.554,43.338
30,40,43.592,43.296
30,40,43.85,43.716
30,40,44.081,44.148
30,40,44.483,45.335
30,40,44.727,45.455
30,40,44.658,44.752
30,40,44.4,43.998
30,40,44.2,43.762
30,40,44.198,44.056
30,40,45.058,44.861
30,40,45.535,45.797
30,40,45.762,46.832
30,40,45.3,46.449
30,40,45.028,45.363
30,40,45.067,45.667
30,40,45.677,45.646
30,40,45.864,45.787
30,40,45.986,46.99
30,40,46.003,46.963
30,40,45.905,46.466
30,40,46.147,47.079
30,40,46.468,46.943
30,40,46.232,46.396
30,40,46.486,45.962
30,40,46.533,46.294
30,40,46.425,46.898
30,40,46.3,47.237
30,40,46.253,47.141
30,40,46.637,46.824
30,40,47.029,48.022
30,40,46.82,47.949
30,40,46.68,47.4
30,40,46.675,46.935
30,40,47.122,47.232
30,40,47.922,47.847
30,40,48.027,48.233
30,40,47.93,48.161
30,40,47.4,47.819
30,40,46.96,47.889
30,40,46.916,47.834
30,40,47.881,47.395
30,40,48.457,47.757
30,40,48.359,48.035
30,40,47.875,48.385
30,40,47.134,48.511
30,40,47.471,48.385
30,40,47.935,48.208
30,40,48.143,49.197
30,40,48.053,49.534
30,40,48.171,50.233
30,40,47.998,49.247
30,40,47.705,47.831
30,40,47.885,47.523
30,40,47.927,48.568
30,40,48.236,49.407
30,40,48.499,49.492
30,40,48.521,50.061
30,40,48.019,49.466
30,40,48.211,49.57
30,40,48.397,49.382
30,40,48.431,48.78
30,40,48.676,48.34
30,40,48.531,48.34
30,40,48.238,48.631
30,40,47.714,48.897
30,40,47.779,49.298
30,40,48.203,49.51
30,40,48.2,49.09
30,40,48.247,49.604
30,40,47.963,50.019
30,40,48.022,50.762
30,40,48.279,50.122
30,40,48.444,49.019
30,40,48.405,48.414
30,40,48.264,48.594
30,40,48.178,49.173
30,40,48.209,49.951
30,40,48.658,49.586
30,40,48.322,49.071
30,40,48.405,50.238
30,40,48.403,50.279
30,40,48.316,49.518
30,40,48.566,48.773
30,40,48.506,49.663
30,40,48.68,51.359
30,40,48.911,50.936
30,40,48.6,49.379
30,40,48.466,48.542
30,40,48.925,49.889
30,40,49.153,51.036
30,40,49.056,50.836
30,40,49.132,50.92
30,40,48.919,50.075
30,40,48.638,49.213
30,40,48.157,48.618
30,40,48.613,49.709
30,40,49.062,50.459
30,40,48.815,50.418
30,40,48.61,49.85
30,40,48.924,49.345
30,40,49.358,49.274
30,40,49.918,49.559
30,40,49.805,50.234
30,40,48.976,50.653
30,40,48.625,51.276
30,40,48.513,50.876
30,40,48.618,49.725
30,40,48.413,48.919
30,40,48.507,48.938
30,40,48.756,49.517
30,40,49.299,50.411
30,40,49.654,50.513
30,40,49.597,49.994
30,40,49.287,50.842
30,40,48.714,50.567
30,40,48.356,49.719
30,40,48.749,50.179
30,40,49.397,50.151
30,40,49.727,50.173
30,40,49.598,50.915
30,40,48.918,50.874
30,40,48.344,50.31
30,40,47.898,49.806
30,40,48.225,50.43
