U1,U2,T1,T2
30,40,28.446,28.681
30,40,29.026,29.065
30,40,29.566,28.861
30,40,30.084,29.116
30,40,30.696,31.633
30,40,31.306,33.14
30,40,31.864,33.549
30,40,32.329,32.901
30,40,32.834,33.429
30,40,33.305,33.668
30,40,33.786,34.246
30,40,34.21,34.276
30,40,34.607,34.265
30,40,35.013,34.591
30,40,35.515,35.976
30,40,35.933,36.359
30,40,36.273,36.125
30,40,36.675,36.706
30,40,37.01,36.712
30,40,37.402,37.384
30,40,37.708,37.31
30,40,37.982,37.133
30,40,38.241,37.019
30,40,38.538,37.389
30,40,38.881,38.176
30,40,39.197,38.67
30,40,39.399,38.243
30,40,39.754,39.274
30,40,40.023,39.484
30,40,40.238,39.329
30,40,40.596,40.459
30,40,40.846,40.575
30,40,41.032,40.262
30,40,41.188,39.887
30,40,41.396,40.104
30,40,41.631,40.569
30,40,41.847,40.862
30,40,42.108,41.531
30,40,42.438,42.676
30,40,42.635,42.592
30,40,42.717,41.724
30,40,42.821,41.316
30,40,43.118,42.594
30,40,43.337,43.021
30,40,43.488,42.903
30,40,43.635,42.853
30,40,43.872,43.599
30,40,44.032,43.63
30,40,44.163,43.504
30,40,44.28,43.362
30,40,44.396,43.317
30,40,44.563,43.727
30,40,44.736,44.148
30,40,45.011,45.331
30,40,45.178,45.453
30,40,45.234,44.755
30,40,45.256,44.012
30,40,45.315,43.787
30,40,45.429,44.087
30,40,45.611,44.882
30,40,45.825,45.784
30,40,46.075,46.803
30,40,46.17,46.438
30,40,46.159,45.393
30,40,46.285,45.72
30,40,46.369,45.684
30,40,46.464,45.78
30,40,46.696,46.963
30,40,46.805,46.951
30,40,46.849,46.483
30,40,47.013,47.114
30,40,47.091,46.968
30,40,47.105,46.397
30,40,47.113,45.957
30,40,47.203,46.289
30,40,47.336,46.906
30,40,47.452,47.262
30,40,47.516,47.176
30,40,47.543,46.85
30,40,47.748,48.022
30,40,47.824,47.935
30,40,47.834,47.403
30,40,47.835,46.96
30,40,47.915,47.261
30,40,48.038,47.852
30,40,48.145,48.204
30,40,48.205,48.132
30,40,48.228,47.822
30,40,48.292,47.934
30,40,48.337,47.898
30,40,48.323,47.432
30,40,48.39,47.726
30,40,48.457,47.97
30,40,48.548,48.354
30,40,48.623,48.551
30,40,48.666,48.473
30,40,48.686,48.265
30,40,48.843,49.187
30,40,48.946,49.493
30,40,49.108,50.214
30,40,49.073,49.267
30,40,48.947,47.876
30,40,48.914,47.565
30,40,49.042,48.582
30,40,49.176,49.403
30,40,49.237,49.481
30,40,49.362,50.057
30,40,49.353,49.483
30,40,49.413,49.611
30,40,49.433,49.415
30,40,49.389,48.788
30,40,49.345,48.329
30,40,49.344,48.325
30,40,49.384,48.637
30,40,49.432,48.935
30,40,49.504,49.358
30,40,49.558,49.553
30,40,49.533,49.093
30,40,49.614,49.589
30,40,49.701,50.019
30,40,49.843,50.796
30,40,49.827,50.171
30,40,49.723,49.046
30,40,49.646,48.412
30,40,49.652,48.584
30,40,49.72,49.182
30,40,49.832,49.986
30,40,49.819,49.624
