T1,T2
301.79,301.85
302.56,302.68
303.32,303.49
304.06,304.28
304.78,305.04
305.49,305.79
306.17,306.51
306.85,307.22
307.5,307.91
308.14,308.58
308.77,309.23
309.38,309.87
309.98,310.48
310.56,311.09
311.13,311.67
311.68,312.24
312.22,312.79
312.75,313.33
313.26,313.86
313.76,314.37
314.25,314.87
314.72,315.35
315.19,315.83
315.64,316.29
316.08,316.73
316.51,317.17
316.93,317.59
317.34,318
317.73,318.4
318.12,318.79
318.5,319.17
318.86,319.54
319.22,319.9
319.57,320.25
319.91,320.59
320.24,320.92
320.56,321.24
320.87,321.56
321.17,321.86
321.47,322.16
321.76,322.45
322.04,322.73
322.31,323
322.58,323.27
322.84,323.53
323.09,323.78
323.34,324.02
323.57,324.26
323.81,324.49
324.03,324.72
324.25,324.94
324.47,325.15
324.68,325.36
324.88,325.56
325.07,325.76
325.27,325.95
325.45,326.13
325.63,326.31
325.81,326.49
325.98,326.66
326.15,326.83
326.31,326.99
326.47,327.15
326.62,327.3
326.77,327.45
326.92,327.59
327.06,327.73
327.2,327.87
327.33,328
327.46,328.13
327.59,328.26
327.71,328.38
327.83,328.5
327.94,328.61
328.06,328.73
328.17,328.84
328.27,328.94
328.38,329.04
328.48,329.15
328.58,329.24
328.67,329.34
328.77,329.43
328.86,329.52
328.94,329.61
329.03,329.69
329.11,329.77
329.19,329.85
329.27,329.93
329.35,330.01
329.42,330.08
329.49,330.15
329.56,330.22
329.63,330.29
329.7,330.36
329.76,330.42
329.83,330.48
329.89,330.54
329.95,330.6
330,330.66
330.06,330.71
330.11,330.77
330.17,330.82
330.22,330.87
330.27,330.92
330.32,330.97
330.36,331.02
330.41,331.06
330.45,331.11
330.5,331.15
330.54,331.19
330.58,331.23
330.62,331.27
330.66,331.31
330.7,331.35
330.73,331.38
330.77,331.42
330.8,331.45
330.84,331.49
330.87,331.52
330.9,331.55
330.93,331.58
330.96,331.61
330.99,331.64
331.02,331.67
331.05,331.7
331.07,331.72
331.1,331.75
331.12,331.77
331.15,331.8
331.17,331.82
331.19,331.84
331.22,331.87
331.24,331.89
331.26,331.91
331.28,331.93
331.3,331.95
331.32,331.97
331.34,331.99
331.36,332.01
331.38,332.02
331.39,332.04
331.41,332.06
331.43,332.08
331.44,332.09
331.46,332.11
331.47,332.12
331.49,332.14
331.5,332.15
331.52,332.16
331.53,332.18
331.54,332.19
331.56,332.2
331.57,332.22
331.58,332.23
331.59,332.24
331.6,332.25
331.61,332.26
331.63,332.27
331.64,332.28
331.65,332.29
331.66,332.3
331.67,332.31
331.68,332.32
331.68,332.33
331.69,332.34
331.7,332.35
331.71,332.36
331.72,332.36
331.73,332.37
331.73,332.38
331.74,332.39
331.75,332.39
331.75,332.4
331.76,332.41
331.77,332.41
331.77,332.42
331.78,332.43
331.79,332.43
331.79,332.44
331.8,332.44
331.8,332.45
331.81,332.46
331.82,332.46
331.82,332.47
331.83,332.47
331.83,332.48
331.83,332.48
331.84,332.48
331.84,332.49
331.85,332.49
331.85,332.5
