T1(k+1),T2(k+1)
29.026,29.065
29.566,28.861
30.084,29.116
30.696,31.633
31.306,33.14
31.864,33.549
32.329,32.901
32.834,33.429
33.305,33.668
33.786,34.246
34.21,34.276
34.607,34.265
35.013,34.591
35.515,35.976
35.933,36.359
36.273,36.125
36.675,36.706
37.01,36.712
37.402,37.384
37.708,37.31
37.982,37.133
38.241,37.019
38.538,37.389
38.881,38.176
39.197,38.67
39.399,38.243
39.754,39.274
40.023,39.484
40.238,39.329
40.596,40.459
40.846,40.575
41.032,40.262
41.188,39.887
41.396,40.104
41.631,40.569
41.847,40.862
42.108,41.531
42.438,42.676
42.635,42.592
42.717,41.724
42.821,41.316
43.118,42.594
43.337,43.021
43.488,42.903
43.635,42.853
43.872,43.599
44.032,43.63
44.163,43.504
44.28,43.362
44.396,43.317
44.563,43.727
44.736,44.148
45.011,45.331
45.178,45.453
45.234,44.755
45.256,44.012
45.315,43.787
45.429,44.087
45.611,44.882
45.825,45.784
46.075,46.803
46.17,46.438
46.159,45.393
46.285,45.72
46.369,45.684
46.464,45.78
46.696,46.963
46.805,46.951
46.849,46.483
47.013,47.114
47.091,46.968
47.105,46.397
47.113,45.957
47.203,46.289
47.336,46.906
47.452,47.262
47.516,47.176
47.543,46.85
47.748,48.022
47.824,47.935
47.834,47.403
47.835,46.96
47.915,47.261
48.038,47.852
48.145,48.204
48.205,48.132
48.228,47.822
48.292,47.934
48.337,47.898
48.323,47.432
48.39,47.726
48.457,47.97
48.548,48.354
48.623,48.551
48.666,48.473
48.686,48.265
48.843,49.187
48.946,49.493
49.108,50.214
49.073,49.267
48.947,47.876
48.914,47.565
49.042,48.582
49.176,49.403
49.237,49.481
49.362,50.057
49.353,49.483
49.413,49.611
49.433,49.415
49.389,48.788
49.345,48.329
49.344,48.325
49.384,48.637
49.432,48.935
49.504,49.358
49.558,49.553
49.533,49.093
49.614,49.589
49.701,50.019
49.843,50.796
49.827,50.171
49.723,49.046
49.646,48.412
49.652,48.584
49.72,49.182
49.832,49.986
49.819,49.624
49.77,49.086
49.922,50.246
49.965,50.292
49.906,49.539
49.822,48.796
49.923,49.675
50.156,51.372
50.169,50.953
50.018,49.393
49.91,48.559
50.057,49.908
50.219,51.046
50.243,50.84
50.296,50.931
50.229,50.093
50.132,49.238
50.043,48.649
50.152,49.745
50.25,50.475
50.268,50.414
50.219,49.854
50.161,49.367
50.14,49.291
50.161,49.553
50.242,50.208
50.315,50.648
50.43,51.325
50.431,50.953
50.314,49.781
50.2,48.929
50.169,48.927
50.216,49.51
50.324,50.418
50.356,50.521
50.31,49.996
50.424,50.848
50.421,50.595
50.335,49.771
50.388,50.23
50.388,50.165
50.391,50.144
50.49,50.878
50.517,50.877
50.477,50.373
50.424,49.896
50.495,50.502
50.486,50.337
50.464,50.12
50.452,50.028
50.547,50.8
50.578,50.884
50.542,50.432
50.532,50.304
50.695,51.557
50.671,51.055
50.522,49.721
50.43,49.158
50.535,50.252
50.626,50.963
50.592,50.529
50.529,49.986
50.628,50.835
50.796,52.012
50.779,51.475
50.779,51.227
50.682,50.295
50.583,49.584
50.55,49.551
50.581,50.008
50.627,50.463
50.644,50.579
50.715,51.087
50.696,50.777
50.67,50.491
50.754,51.143
50.879,51.957
50.828,51.213
50.685,49.951
50.531,48.914
50.51,49.153
50.59,50.092
50.673,50.815
50.828,51.92
50.808,51.403
50.675,50.156
50.602,49.687
50.584,49.744
50.609,50.12
50.822,51.857
50.862,51.82
50.745,50.594
50.599,49.46
50.535,49.229
50.567,49.788
50.772,51.542
50.834,51.75
50.744,50.744
50.746,50.715
50.745,50.668
50.699,50.288
50.648,49.962
50.669,50.268
50.864,51.848
50.933,52.066
50.866,51.188
50.756,50.208
50.653,49.53
50.667,49.915
50.752,50.745
50.87,51.621
50.89,51.524
50.828,50.831
50.893,51.309
50.94,51.525
50.902,51.047
50.97,51.512
50.953,51.215
